image,anwser
cat_0261.jpg,The kitten is looking at the camera.
person_0490.jpg,The woman is holding a microphone in front of her. The woman is wearing a white shirt. The woman is holding a microphone in front of her
car_0326.jpg,The car is blue with black rims. The car is parked on the street. The car is parked on the street. The car is parked
person_0160.jpg,the man is wearing a suit and tie
dog_0151.jpg,The dog is looking at the camera.
cat_0026.jpg,The cat is looking at the camera.
fruit_0025.jpg,There is an avocado in the picture.
car_0943.jpg,Audi tt coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe
airplane_0313.jpg,The picture is of an air nortrum airplane flying in the sky.
car_0509.jpg,2009 acura tlx
car_0045.jpg,Acura
person_0177.jpg,The man on the left is wearing a tie. The man on the right is wearing a necktie. The man in the middle is wearing a
airplane_0143.jpg,The plane is parked on the side of the road.
car_0409.jpg,The picture is of a car on display at a car show.
dog_0358.jpg,The person is holding a black dog in the car.
dog_0542.jpg,The dog is black and white.
person_0305.jpg,The woman is holding a tennis racket.
fruit_0436.jpg,The image is of a strawberry.
person_0763.jpg,the man is smiling
car_0262.jpg,Acura
person_0526.jpg,The man is holding a tennis racket.
motorbike_0030.jpg,The motorcycle is parked on the side of the road. The motorcycle is parked on the side of the road. The motorcycle is parked on the side
car_0715.jpg,Aston Martin
car_0950.jpg,The audi tt is parked on the side of the road.
fruit_0103.jpg,The potato is on top of a toothpick.
flower_0810.jpg,The image is of a flower.
flower_0564.jpg,Red hibiscus
fruit_0140.jpg,The image is of a green fruit.
person_0373.jpg,a man in a suit and a yellow tie is standing in front of a group of men in suits and a yellow tie
airplane_0265.jpg,The picture is of an airplane parked on the tarmac of an airport.
cat_0751.jpg,The cat is sitting on a shelf.
person_0761.jpg,the man is wearing a blue tie
fruit_0568.jpg,The image is of a fruit.
car_0070.jpg,Acura
dog_0356.jpg,The dog is looking at the camera.
cat_0658.jpg,The cat is looking at the camera.
dog_0120.jpg,The dog has a collar with the name of the dog on it.
airplane_0654.jpg,The plane is parked on the tarmac.
person_0193.jpg,a man with curly hair is looking at the camera
fruit_0507.jpg,There is a banana in the picture.
car_0686.jpg,aston martin
flower_0655.jpg,The photo is of a field of poppies.
cat_0626.jpg,The cat is sitting on the floor.
motorbike_0296.jpg,The man is riding a motorcycle.
person_0918.jpg,The man in the photo is wearing a blue shirt.
fruit_0737.jpg,The picture is of a fruit.
airplane_0658.jpg,The plane is on the runway.
dog_0699.jpg,The dog is looking at the camera.
airplane_0127.jpg,The picture is of a plane flying in the sky.
flower_0480.jpg,The picture is of a flower.
motorbike_0578.jpg,The motorcycle is parked on the side of the road.
cat_0214.jpg,The person is holding the cat.
person_0054.jpg,a man with glasses and a white shirt is speaking into a microphone
fruit_0905.jpg,The fruit is a pomegranate.
flower_0166.jpg,A flower with yellow and white petals.
fruit_0233.jpg,The ball is yellow and has a hole in the middle.
person_0080.jpg,the man is wearing a red hoodie and a black jacket
fruit_0955.jpg,The picture is of an apple.
cat_0000.jpg,The cat is looking at the camera.
airplane_0622.jpg,The picture is of an airplane flying in the sky.
motorbike_0708.jpg,Ducati Multistrada 1200
person_0128.jpg,an old woman with white hair and a red jacket is smiling at the camera
car_0298.jpg,The car is yellow and has a license plate on the front of the car. The car is parked in front of a house. The car is
cat_0664.jpg,The person is holding the cat.
cat_0674.jpg,The cat is looking at the camera.
car_0434.jpg,The image is of a Hummer parked in a parking lot.
car_0770.jpg,Acura
cat_0116.jpg,The cat is looking at the camera.
dog_0504.jpg,The man is holding the dog.
motorbike_0245.jpg,The motorcycle is parked on the side of the road. The motorcycle is parked on the side of the road. The motorcycle is parked on the side
flower_0189.jpg,This is a photo of a flower.
airplane_0450.jpg,The picture is of an emirates airplane.
motorbike_0386.jpg,The motorcycle is parked on the side of the road.
flower_0364.jpg,Poinsettia
car_0921.jpg,2010 audi a5 coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe cou
airplane_0151.jpg,The picture is of an airplane on the runway.
dog_0449.jpg,The dog is sitting on the grass. The dog is wearing a blue shirt. The dog is sitting on the grass. The dog is wearing a
fruit_0634.jpg,The image is of a peach.
fruit_0997.jpg,The picture is of an orange.
motorbike_0284.jpg,The motorcycle is parked in front of the house.
flower_0098.jpg,The flowers are in a field. The flowers are pink. The flowers are in a field. The flowers are in a field. The flowers are
motorbike_0637.jpg,The motorcycle is parked on the side of the road. The motorcycle is parked on the side of the road. The motorcycle is parked on the side
motorbike_0139.jpg,The motorcycle is parked on the side of the road.
car_0348.jpg,The car is parked on the side of the road. The car is parked on the side of the road. The car is parked on the side
fruit_0583.jpg,The picture is of an orange.
airplane_0517.jpg,The picture is of an airplane flying in the sky.
dog_0309.jpg,The dog is being held by a person.
airplane_0429.jpg,"The planes are parked on the tarmac, waiting to take off."
car_0004.jpg,Acura MDX
flower_0086.jpg,The sunflowers are yellow and have black spots on them.
person_0171.jpg,the man is wearing glasses and a blue shirt
car_0660.jpg,Aston Martin DB9
dog_0175.jpg,The person is holding the dog by the scruff of the neck. The dog is looking at the person. The dog's mouth is open.
airplane_0320.jpg,The picture shows a plane parked on the tarmac.
airplane_0098.jpg,The picture is of an airplane parked on the tarmac at an airport.
airplane_0539.jpg,The picture is of a british airplane.
flower_0063.jpg,The picture is of a flower.
airplane_0134.jpg,The picture is of a plane parked on the ground.
flower_0689.jpg,The picture shows a group of red and white flowers. The picture shows a group of red and white flowers. The picture shows a group of red
motorbike_0457.jpg,The motorcycle is parked on the side of the road. The motorcycle is yellow. The motorcycle is parked on the side of the road. The motorcycle
fruit_0897.jpg,The picture is of a fish.
car_0789.jpg,the audi a1 cabriolet
airplane_0677.jpg,The picture is of a plane flying in the sky.
person_0004.jpg,The man in the photo is wearing a gray shirt and has a beard.
fruit_0557.jpg,The picture is of an orange.
motorbike_0531.jpg,The motorcycle is parked on the side of the road.
dog_0280.jpg,The dog is standing in front of the gate.
flower_0635.jpg,The picture is of a flower.
car_0881.jpg,2007 audi a5 2.0t quattro
motorbike_0078.jpg,The picture shows a motorcycle parked on the side of the road.
motorbike_0634.jpg,The motorcycle is green.
airplane_0300.jpg,The picture is of a british Airways airplane parked on the tarmac.
flower_0560.jpg,The flower is white and has a yellow center.
dog_0061.jpg,The dog is sitting in the grass.
person_0116.jpg,a man with glasses and a moustache
fruit_0193.jpg,The image shows a strawberry.
fruit_0474.jpg,The ball is purple and has brown spots on it.
car_0511.jpg,Aston Martin DB9
person_0336.jpg,The man in the middle is wearing glasses and has a moustache. The man on the right is wearing glasses and has a moustache
airplane_0388.jpg,The picture is of an airplane parked on the tarmac at an airport.
motorbike_0178.jpg,The picture is of a motorcycle parked in a field.
motorbike_0620.jpg,The picture is of a motorcycle parked on the side of the road.
flower_0752.jpg,The picture is of a zinnia flower.
cat_0848.jpg,The cat has green eyes.
dog_0564.jpg,The dog is wearing a red shirt.
airplane_0718.jpg,The plane is in the sky.
cat_0340.jpg,The cat is in the man's hand.
cat_0602.jpg,The cat is standing in front of the dog.
motorbike_0638.jpg,The motorcycle is parked on the side of the road. The motorcycle is parked on the side of the road. The motorcycle is parked on the side
dog_0476.jpg,The dog is wearing a red collar.
car_0430.jpg,Acura
motorbike_0599.jpg,The motorcycle is parked on the side of the road.
dog_0579.jpg,The dog is brown and white.
flower_0463.jpg,The image shows a pink flower with a drop of water on it.
motorbike_0636.jpg,The man is sitting on the motorcycle.
airplane_0232.jpg,The picture is of a plane flying in the sky.
person_0368.jpg,the woman in the blue shirt is about to jump on a trampoline
flower_0614.jpg,"The sky is blue, the grass is green, the flowers are white, the sky is blue, the grass is green, the sky is blue"
flower_0427.jpg,The picture is of a flower.
cat_0287.jpg,The cat is lying down.
flower_0068.jpg,A hollyhock is a flowering plant that is native to the eastern United States and western Canada. The hollyhock flower is a
motorbike_0156.jpg,The motorcycle is parked in front of a garage.
airplane_0639.jpg,The picture is of a plane flying in the sky.
motorbike_0033.jpg,The motorcycle is parked on the side of the road. The motorcycle is parked on the side of the road. The motorcycle is parked on the side
dog_0640.jpg,The dog is standing on the ground.
motorbike_0113.jpg,The motorcycle is parked in front of the house.
airplane_0657.jpg,The picture is of a korean airplane.
motorbike_0032.jpg,The motorcycle is parked on the side of the road.
car_0081.jpg,2010 acura mdx
person_0150.jpg,"The man in the photo is wearing a black jacket, a blue shirt, and a blue tie."
person_0294.jpg,the man is wearing a scarf
fruit_0953.jpg,The apple is red.
airplane_0545.jpg,The picture is of a plane flying in the sky.
person_0707.jpg,The man is smiling.
person_0791.jpg,an old man in a suit and tie
cat_0429.jpg,The cat is sitting on top of the box.
motorbike_0283.jpg,This is a picture of a motorcycle parked on the side of the road.
fruit_0318.jpg,The picture is of a banana.
car_0678.jpg,aston martin db11
person_0247.jpg,The man is smiling.
person_0889.jpg,The man and the woman are looking at each other.
car_0232.jpg,Acura TSX
dog_0073.jpg,The dog is looking at the camera.
person_0972.jpg,the man is wearing a black shirt and a black hat
flower_0119.jpg,A red rose
car_0020.jpg,Acura
flower_0643.jpg,The flower is red and has white petals.
flower_0092.jpg,The picture is of a flower.
person_0758.jpg,"the israeli prime minister, benjamin netanyahu"
cat_0760.jpg,The cat is looking at the camera.
airplane_0427.jpg,The picture is of an airplane parked on the tarmac of an airport.
flower_0125.jpg,The grass is green and the flowers are red.
person_0014.jpg,the man is wearing sunglasses
person_0020.jpg,a man in a suit and tie with a microphone in front of him
airplane_0145.jpg,The picture is of a plane on the runway.
airplane_0110.jpg,The picture is of an airplane parked on the tarmac at an airport.
airplane_0379.jpg,The picture is of an airplane parked on the tarmac at an airport.
car_0854.jpg,the audi is driving on the road
fruit_0272.jpg,The ball is yellow.
person_0981.jpg,the woman is smiling
fruit_0205.jpg,The apple is red.
person_0254.jpg,the man is wearing a blue shirt and tie
fruit_0636.jpg,The picture is of a red fruit.
flower_0014.jpg,The image is of a flower.
car_0223.jpg,2013 acura ilx
cat_0279.jpg,The cat is looking at the camera.
fruit_0459.jpg,The picture is of a fruit.
car_0819.jpg,The car is yellow and has black rims. The car is parked on the side of the road. The car is parked on the side of
flower_0687.jpg,The flower is yellow and has brown stripes on the petals.
airplane_0199.jpg,The picture is of a plane flying in the sky.
car_0080.jpg,Acura
cat_0422.jpg,The woman is holding the cat.
cat_0801.jpg,The cat is sitting on the floor.
person_0637.jpg,the woman has blonde hair and blue eyes
person_0672.jpg,The woman is smiling.
fruit_0612.jpg,The picture is of a potato.
cat_0111.jpg,The cat is black and white.
cat_0628.jpg,The cat is standing in front of the bowl.
motorbike_0317.jpg,The bike is parked in the garage.
fruit_0902.jpg,The picture is of an orange.
flower_0510.jpg,The picture is of a bird of paradise flower.
motorbike_0102.jpg,The picture shows a motorcycle parked in front of a building.
cat_0286.jpg,The cat is looking at the camera. The cat is looking at the camera. The cat is looking at the camera. The cat is looking at
cat_0478.jpg,The cat is looking at the camera.
dog_0620.jpg,The dog is standing in front of the man.
cat_0288.jpg,The cat is sitting in a cage.
airplane_0695.jpg,The picture is of a plane parked in front of a building.
motorbike_0362.jpg,The motorcycle is parked in front of the house.
dog_0636.jpg,The dog is standing in the grass.
car_0364.jpg,The car is yellow.
dog_0364.jpg,The dog on the left has a pink collar. The dog on the right has a black collar. The dog on the left has a white collar
fruit_0056.jpg,The picture is of an orange.
fruit_0051.jpg,The fruit is yellow and has brown spots on it.
cat_0063.jpg,The cat is looking at the camera.
cat_0167.jpg,The cat is looking at the camera.
airplane_0550.jpg,"The picture is of a kenya Airways airplane parked on the tarmac at the kenya Airways terminal in Nairobi, Kenya."
dog_0160.jpg,The dog is looking directly at the camera.
motorbike_0376.jpg,The motorcycle is parked on the side of the road.
fruit_0948.jpg,The picture is of an orange.
motorbike_0355.jpg,The picture is of a motorcycle parked in a garage.
car_0513.jpg,The car is parked on the side of the road.
dog_0053.jpg,The dog is looking at the person.
car_0210.jpg,The Acura is parked in front of the Acura dealership. The Acura is parked in front of the Acura dealership. The Acura
airplane_0452.jpg,The picture is of an airplane parked on the tarmac of an airport.
motorbike_0418.jpg,The yellow dirt bike is parked on the side of the road.
person_0423.jpg,The woman has brown hair.
person_0453.jpg,The woman is holding a tennis racquet.
fruit_0839.jpg,The picture is of an apple.
fruit_0993.jpg,The picture is of an apple.
cat_0343.jpg,The cat is lying down.
flower_0110.jpg,The image is of a bee on a plant with yellow flowers.
motorbike_0276.jpg,The picture is of a motorcycle parked in front of a grassy field.
person_0383.jpg,the man is wearing glasses and a tie
motorbike_0103.jpg,The motorcycle is parked on the side of the road.
fruit_0835.jpg,The fruit is white and has red stripes on it. The fruit is on a stick. The fruit is on the ground. The fruit is on
dog_0443.jpg,The dog is standing in front of the tv.
dog_0136.jpg,The woman is holding the dog.
dog_0586.jpg,The dog is standing in front of a gate.
airplane_0123.jpg,The picture is of an airplane flying in the sky.
motorbike_0622.jpg,The motorcycle is parked on the side of the road.
dog_0050.jpg,The man is holding a black and white dog.
flower_0549.jpg,The picture is of a group of pink flowers.
car_0907.jpg,Audi A5 2 0 tdi quattro 2dr coupe 2dr coupe 2dr coupe 2dr coupe 2dr cou
car_0388.jpg,the acura is driving on the road
dog_0697.jpg,The dog is lying on the floor.
fruit_0919.jpg,The picture is of a lemon.
fruit_0470.jpg,The image is of a fruit on a stick.
person_0680.jpg,the man is wearing glasses and a tie
dog_0152.jpg,The dog is brown and white with a white collar and a blue leash. The dog is standing on the grass in front of a white house.
fruit_0951.jpg,The picture is of a yellow fruit.
car_0043.jpg,Acura
cat_0341.jpg,The cat is looking directly at the camera.
person_0049.jpg,The man in the middle is wearing a blue shirt and tie. The man on the right is wearing a gray shirt and tie. The man on
flower_0722.jpg,The picture is of a flower.
car_0016.jpg,The Acura is parked on the side of the road. The Acura is parked on the side of the road. The Acura is parked
motorbike_0024.jpg,The motorcycle is parked on the side of the road. The motorcycle is parked on the side of the road. The motorcycle is parked on the side
airplane_0104.jpg,The picture is of a plane flying in the sky.
car_0105.jpg,2013 buick lacrosse
motorbike_0011.jpg,The motorcycle is parked on the side of the road. The motorcycle is parked on the side of the road. The motorcycle is parked on the side
dog_0288.jpg,The dog is sitting on the floor.
person_0410.jpg,The man is wearing glasses.
car_0145.jpg,2007 acura tl
flower_0011.jpg,A coneflower
person_0683.jpg,a man in a black shirt is holding a microphone in front of his face
flower_0559.jpg,The woman is standing in front of a field of tulips.
cat_0511.jpg,The woman is holding the cat.
airplane_0141.jpg,The picture is of a plane flying in the sky.
motorbike_0492.jpg,The motorcycle is parked on the side of the road.
dog_0381.jpg,"The dog is white, black, and brown."
car_0277.jpg,"The front of the vehicle is yellow, the back of the vehicle is white, and the front of the vehicle is black."
airplane_0318.jpg,The picture is of a plane flying in the sky.
car_0845.jpg,The Acura is parked in the lot of a car dealership.
flower_0511.jpg,The image is of a flower. The flower is pink. The flower has five petals. The petals are yellow. The petals are
person_0610.jpg,the woman is smiling and holding a microphone
flower_0465.jpg,The picture shows a flower with a yellow center.
person_0586.jpg,the man has brown hair and brown eyes
motorbike_0687.jpg,The motorcycle is parked on the side of the road.
cat_0629.jpg,The kitten is black and white.
car_0889.jpg,The car is parked in front of a building.
fruit_0442.jpg,The picture is of a lemon.
dog_0362.jpg,The dog is black and white with a pink collar.
cat_0688.jpg,The woman is holding the cat.
cat_0572.jpg,The cat is looking at the camera.
cat_0074.jpg,The cat is sitting on the floor.
fruit_0791.jpg,The fruit is a mango.
dog_0245.jpg,The dog is standing in front of a chain link fence.
dog_0282.jpg,The dog is standing in front of a wall.
fruit_0053.jpg,The picture is of a potato.
airplane_0568.jpg,The picture is of a plane flying in the sky with the word futura written on it.
dog_0295.jpg,The dog is sitting on the floor.
person_0485.jpg,the woman is holding a microphone in front of her face
dog_0037.jpg,The dog is sitting on the grass.
dog_0526.jpg,The man is holding the dog.
fruit_0388.jpg,The picture is of an orange.
person_0395.jpg,The man is speaking into a microphone. The man is wearing sunglasses. The man is wearing a suit. The man is wearing a tie. The
cat_0419.jpg,The cat is looking at the camera.
flower_0555.jpg,The picture is of a daisy.
person_0477.jpg,the woman is smiling
fruit_0180.jpg,An apple on a stick.
motorbike_0242.jpg,The motorcycle is parked on the side of the road.
motorbike_0020.jpg,The motorcycle is parked on the side of the road.
fruit_0501.jpg,The picture is of an apple.
person_0797.jpg,A man in a suit and tie is standing next to a man in a military uniform
car_0577.jpg,aston martin vantage
flower_0286.jpg,The picture is of a yellow tulip.
flower_0784.jpg,The picture is of a flower.
person_0326.jpg,a man in a suit and tie is speaking into a microphone
cat_0183.jpg,The cat is sitting in a blue tub.
person_0721.jpg,the man is smiling
cat_0179.jpg,The cat is sitting in the cat bed. The cat is black and white. The cat has green eyes. The cat is sitting in the cat
motorbike_0733.jpg,The motorcycle is parked on the side of the road. The motorcycle is parked on the side of the road. The motorcycle is parked on the side
cat_0579.jpg,The kitten has blue eyes.
cat_0568.jpg,The cat is looking at the camera.
person_0134.jpg,The woman in the blue shirt is looking at the basketball player on the court.
motorbike_0397.jpg,The motorcycle is parked on the side of the road.
person_0632.jpg,The man is wearing sunglasses
person_0865.jpg,Arnold Schwarzenegger
dog_0067.jpg,The dog on the left is looking at the dog on the right. The dog on the right is looking at the dog on the left.
flower_0091.jpg,The image is of a flower.
dog_0123.jpg,The woman is holding the dog by the scruff of the neck.
flower_0394.jpg,This is a picture of a flower.
car_0309.jpg,1998 honda civic coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe cou
cat_0042.jpg,The cat is in the cat box.
person_0663.jpg,The woman in the yellow shirt is looking at the camera.
flower_0516.jpg,The picture is of a vase of flowers.
fruit_0074.jpg,The ball is brown and has a hole in the middle.
person_0109.jpg,The man is wearing a suit and tie and has a microphone in front of him
motorbike_0421.jpg,The motorcycle is parked on the side of the road.
motorbike_0757.jpg,The motorcycle is parked on the side of the road.
cat_0293.jpg,The cat is looking at the camera.
fruit_0531.jpg,The picture is of an apple.
fruit_0909.jpg,An apple.
cat_0416.jpg,The cat is looking at the camera.
car_0602.jpg,aston martin vantage
airplane_0215.jpg,The picture shows a plane parked on the tarmac.
car_0133.jpg,2007 mazda mx-5
motorbike_0095.jpg,The man is sitting on a motorcycle.
fruit_0039.jpg,The lemon is yellow.
airplane_0044.jpg,The plane is parked on the side of the road.
motorbike_0197.jpg,The motorcycle is parked in the parking lot.
fruit_0243.jpg,The coconut is brown and has brown spots on it. The coconut has brown spots on it. The coconut has brown spots on it. The coconut
fruit_0309.jpg,The picture is of a red apple.
fruit_0083.jpg,The picture is of an orange.
airplane_0040.jpg,The picture is of a plane with the number 25 on it.
motorbike_0781.jpg,The motorcycle is parked on the side of the road.
motorbike_0002.jpg,The motorcycle is parked on the side of the road. The motorcycle is parked on the side of the road. The motorcycle is parked on the side
person_0474.jpg,julia robertson
motorbike_0615.jpg,The motorcycle is parked on the side of the road.
airplane_0176.jpg,The image is of two jets flying over a mountain range.
flower_0533.jpg,The image is of a flower.
car_0957.jpg,audi tt coupe
fruit_0087.jpg,The raspberries are in the shape of a heart.
fruit_0081.jpg,The image is of a blueberry.
person_0783.jpg,a man in a suit and tie is looking at the camera
fruit_0714.jpg,The picture is of a green apple.
cat_0776.jpg,The cat is black and white.
fruit_0680.jpg,"The fruit is a walnut, and the stripes are on the outside of the fruit."
cat_0510.jpg,The cat is in the cat box.
fruit_0449.jpg,The picture is of an apple.
airplane_0036.jpg,The planes are in the air.
fruit_0195.jpg,The picture is of an orange.
dog_0365.jpg,The dog is black and white.
person_0335.jpg,the man is speaking into a microphone
car_0480.jpg,aston martin db11
car_0915.jpg,2012 audi a5 2.0t quattro
airplane_0659.jpg,The picture is of a plane on the runway.
flower_0694.jpg,A flower with pink petals and white stamens
car_0726.jpg,Aston Martin DB9
motorbike_0686.jpg,The motorcycle is parked on the side of the road.
car_0489.jpg,Aston Martin DB9
fruit_0806.jpg,The picture is of a pear.
cat_0166.jpg,The cat is looking at the camera.
fruit_0462.jpg,The image is of a fruit.
airplane_0217.jpg,The picture is of a plane flying in the sky.
airplane_0575.jpg,The picture is of an airplane parked on the tarmac at an airport.
airplane_0504.jpg,The airplane is flying in the sky.
motorbike_0087.jpg,the motorcycle is parked on the side of the road
fruit_0178.jpg,The picture is of an orange.
car_0615.jpg,aston martin vantage
flower_0692.jpg,This is a picture of a flower in a pot.
motorbike_0368.jpg,Ducati Multistrada 1200
dog_0109.jpg,The dog is standing in the grass.
person_0459.jpg,The woman is holding a tennis racket.
fruit_0186.jpg,The fruit is a lemon.
airplane_0256.jpg,"The sky is blue, the grass is green, the airplane is white, the sky is blue, the grass is green, the airplane is white"
cat_0528.jpg,The cat is sitting on the floor.
car_0000.jpg,The vehicle is parked in front of a house.
airplane_0642.jpg,The picture is of a mexican airplane.
dog_0417.jpg,The woman is holding the dog.
motorbike_0737.jpg,The man is sitting on the motorcycle.
dog_0040.jpg,The dog is standing in front of a chain link fence.
car_0890.jpg,The audi car is parked on the side of the road.
fruit_0999.jpg,The image is of a pear.
motorbike_0209.jpg,The bike is parked in front of a garage.
motorbike_0147.jpg,The motorcycle is parked on the side of the road.
person_0713.jpg,The man is holding a cell phone.
dog_0304.jpg,The dog is sitting in the grass.
motorbike_0707.jpg,Ducati Multistrada 1200
car_0887.jpg,audi a5 coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe
fruit_0104.jpg,The ball is brown and has a hole in it.
motorbike_0564.jpg,The motorcycle is parked on the side of the road.
fruit_0908.jpg,The fruit is a pomegranate.
fruit_0405.jpg,An apple.
person_0557.jpg,The man in the red shirt is smiling and the man in the white shirt is hugging the man in the red shirt.
dog_0503.jpg,The dog on the left is the dog that is looking at the camera. The dog on the right is the dog that is looking at the camera
person_0117.jpg,the man is wearing a brown jacket and a white shirt with a blue tie
motorbike_0497.jpg,The motorcycle is parked on the side of the road.
fruit_0947.jpg,The picture shows an avocado.
airplane_0071.jpg,The picture is of an airplane parked on the tarmac of an airport.
fruit_0337.jpg,The raspberries are purple.
fruit_0416.jpg,The fruit is green.
motorbike_0388.jpg,The motorcycle is parked on the side of the road. The motorcycle is parked on the side of the road. The motorcycle is parked on the side
dog_0624.jpg,The dog is looking at the camera.
person_0515.jpg,The man is holding a tennis racquet.
dog_0516.jpg,The dog is being held by a woman.
cat_0743.jpg,The cat is lying on the floor.
car_0680.jpg,Aston Martin DB9
airplane_0287.jpg,The picture is of an airplane parked on the tarmac of an airport.
fruit_0473.jpg,The fruit is a red apple.
flower_0211.jpg,The image is of a flower.
dog_0237.jpg,the dog is standing in the grass
car_0639.jpg,aston martin vanquish
flower_0492.jpg,A lotus flower.
fruit_0596.jpg,The image shows a fruit with a brown skin and a yellow core. The image shows a fruit with a brown skin and a yellow core.
fruit_0829.jpg,The picture is of an orange.
fruit_0085.jpg,The picture is of a lollipop with a lemon on top of it.
flower_0109.jpg,This is a picture of a bird.
person_0391.jpg,The man is wearing glasses and a yellow tie.
fruit_0350.jpg,Pear
dog_0450.jpg,The dog is wearing a red bandana.
flower_0032.jpg,The image is of a flower.
fruit_0757.jpg,The image is of a tomato.
dog_0599.jpg,The dog is looking at the camera.
airplane_0660.jpg,The sun country airplane is parked on the tarmac.
fruit_0964.jpg,The picture is of an avocado.
car_0212.jpg,Acura
person_0825.jpg,The man is looking at the camera.
airplane_0720.jpg,The plane is in the sky.
person_0950.jpg,The man in the blue shirt is wearing a tie. The man in the brown shirt is wearing a necktie. The man in the gray shirt
flower_0313.jpg,This is a picture of a flower.
fruit_0710.jpg,The picture is of an orange.
dog_0572.jpg,The dog is standing on the sidewalk.
flower_0282.jpg,The flowers are white and have green petals.
fruit_0617.jpg,The picture is of an orange.
cat_0725.jpg,The cat is looking at the camera.
fruit_0671.jpg,Pineapple
motorbike_0136.jpg,The picture shows a motorcycle parked in front of a building.
fruit_0310.jpg,This is a picture of a potato on a stick.
cat_0822.jpg,The cat is looking at the camera.
dog_0436.jpg,The dog is black and white.
motorbike_0343.jpg,The picture is of a motorcycle parked on the side of the road.
airplane_0466.jpg,The picture is of a plane flying in the sky.
person_0469.jpg,the woman is smiling with a medal around her neck
person_0201.jpg,The man on the left is wearing a st louis cardinals hat. The man on the right is wearing a st louis cardinals hat
car_0755.jpg,Aston Martin DB9
flower_0514.jpg,The image is of a flower.
cat_0856.jpg,The cat is sitting under the table.
airplane_0269.jpg,The picture shows a plane parked on the tarmac at an airport.
dog_0010.jpg,The dog is sitting on the floor.
cat_0494.jpg,The cat is looking at the camera.
car_0065.jpg,Acura
flower_0715.jpg,The picture is of a field of yellow tulips.
flower_0587.jpg,The image is of a vase with a red rose in it.
cat_0713.jpg,The cat is looking at the camera.
cat_0631.jpg,The cat is looking at the camera.
dog_0367.jpg,The dog is sitting in the grass.
flower_0605.jpg,This is a picture of a flower.
flower_0513.jpg,The picture is of a flower.
motorbike_0228.jpg,The motorcycle is parked on the side of the road.
airplane_0203.jpg,The picture is of an adria airplane.
person_0042.jpg,The man has a mustache.
person_0686.jpg,The man is looking at the camera.
car_0240.jpg,2007 acura tl
cat_0158.jpg,The cat is looking at the camera.
fruit_0712.jpg,The fruit is a dragon fruit.
person_0245.jpg,the man is wearing a brown jacket
fruit_0821.jpg,The image is of a pear.
cat_0639.jpg,The cat is looking at the camera.
dog_0127.jpg,The dog is sitting on the floor.
fruit_0629.jpg,The picture is of a nut.
flower_0073.jpg,The picture is of a vase of flowers.
fruit_0793.jpg,An apple.
person_0351.jpg,the man is wearing a white shirt
cat_0145.jpg,The cat is looking at the camera.
cat_0477.jpg,The cat is looking at the camera.
flower_0101.jpg,The image is of a flower.
motorbike_0302.jpg,The motorcycle is parked in front of the house.
fruit_0772.jpg,The picture is of an apple.
motorbike_0590.jpg,The motorcycle is parked on the side of the road. The motorcycle is parked on the side of the road. The motorcycle is parked on the side
flower_0607.jpg,"red, white, and purple flowers in the garden"
motorbike_0726.jpg,The motorcycle is parked on the side of the road. The motorcycle is parked on the side of the road. The motorcycle is parked on the side
cat_0793.jpg,The cat is looking at the camera.
car_0544.jpg,Aston Martin DB9
cat_0465.jpg,The cat is looking at the camera.
dog_0235.jpg,The dog is looking at the camera.
airplane_0600.jpg,The picture is of an ethiopian airplane flying in the sky.
fruit_0169.jpg,The fruit is yellow and has brown spots on it.
airplane_0072.jpg,The picture shows a plane parked on the tarmac at an airport.
car_0293.jpg,The yellow car is parked in front of the red car.
